track,start,horses,uid
Mahoning Valley,2017-02-21 18:12:00,"{u'Perfect And Elite': {'odds': u'SP', 'uid': u'3357918997'}, u'Red Velvet Lady': {'odds': u'SP', 'uid': u'3357918957'}, u""Warren's Cracker"": {'odds': u'SP', 'uid': u'3357918951'}, u'Pepper Ridge': {'odds': u'SP', 'uid': u'3357919034'}, u'Dance Electric': {'odds': u'SP', 'uid': u'3357919100'}, u'Crafty Regan': {'odds': u'SP', 'uid': u'3357919092'}, u""Jester's Judgement"": {'odds': u'SP', 'uid': u'3357919065'}}",5197808
Mahoning Valley,2017-02-21 19:08:00,"{u'Poised To A Tee': {'odds': u'SP', 'uid': u'3357919106'}, u'Balotelli': {'odds': u'SP', 'uid': u'3357918954'}, u""Don't Be Coy"": {'odds': u'SP', 'uid': u'3357919098'}, u'Chatito': {'odds': u'SP', 'uid': u'3357919112'}, u'Battle Hardened': {'odds': u'SP', 'uid': u'3357919017'}, u'Rockabye': {'odds': u'SP', 'uid': u'3357919086'}, u'Jimminy': {'odds': u'SP', 'uid': u'3357919050'}, u'Clapham Heights': {'odds': u'SP', 'uid': u'3357918978'}}",5197810
Mahoning Valley,2017-02-21 19:36:00,"{u'Pinot Noir': {'odds': u'SP', 'uid': u'3357919104'}, u'Go Money Go': {'odds': u'SP', 'uid': u'3357919049'}, u'Bamboo Stick': {'odds': u'SP', 'uid': u'3357919013'}, u'Carolyn M.': {'odds': u'SP', 'uid': u'3357919109'}, u'World Elite': {'odds': u'SP', 'uid': u'3357918953'}, u'Cubicle Queen': {'odds': u'SP', 'uid': u'3357919080'}, u'Seniorita Pride': {'odds': u'SP', 'uid': u'3357919096'}, u'Tachiello': {'odds': u'SP', 'uid': u'3357919115'}, u'Cinder Tyme': {'odds': u'SP', 'uid': u'3357918966'}, u'U And Tequila': {'odds': u'SP', 'uid': u'3357919119'}}",5197811
Mahoning Valley,2017-02-21 17:45:00,"{u'High Hopes E Day': {'odds': u'SP', 'uid': u'3357918950'}, u'Late Double Jack': {'odds': u'SP', 'uid': u'3357919059'}, u'Kid Chic': {'odds': u'SP', 'uid': u'3357919099'}, u'New Forester': {'odds': u'SP', 'uid': u'3357919107'}, u'Deputy Copycat': {'odds': u'SP', 'uid': u'3357918990'}, u""I'am A Player"": {'odds': u'SP', 'uid': u'3357919027'}, u'Ausable River': {'odds': u'SP', 'uid': u'3357919091'}, u'Hathraan': {'odds': u'SP', 'uid': u'3357918956'}}",5197807
Mahoning Valley,2017-02-21 18:40:00,"{u'Brilliantbydesign': {'odds': u'SP', 'uid': u'3357919000'}, u'Bayshore Boy': {'odds': u'SP', 'uid': u'3357919101'}, u'Total Posse': {'odds': u'SP', 'uid': u'3357918952'}, u'El Chakal': {'odds': u'SP', 'uid': u'3357919094'}, u""Warren's T. Baze"": {'odds': u'SP', 'uid': u'3357919039'}, u'Nikispring': {'odds': u'SP', 'uid': u'3357918959'}, u'Schomberg': {'odds': u'SP', 'uid': u'3357919071'}}",5197809
Taunton,2017-02-21 17:20:00,"{u'Italian River': {'odds': u'40/1 ', 'uid': u'3358227926'}, u'Formal Request': {'odds': u'125/1 ', 'uid': u'3358228039'}, u'Rockpoint': {'odds': u'9/1 ', 'uid': u'3358228052'}, u'Justice Knight': {'odds': u'80/1 ', 'uid': u'3358228001'}, u'My Story': {'odds': u'10/3 ', 'uid': u'3358228012'}, u'Out Of Style': {'odds': u'11/2 ', 'uid': u'3358228031'}, u'Ouro Branco': {'odds': u'33/1 ', 'uid': u'3358228047'}, u'Or De Vassy': {'odds': u'9/2 ', 'uid': u'3358228021'}, u'Air Approach': {'odds': u'28/1 ', 'uid': u'3358227743'}, u'Casterly Rock': {'odds': u'7/1 ', 'uid': u'3358227836'}, u'If The Cap Fits': {'odds': u'15/8 ', 'uid': u'3358227645'}}",5198004
Sunland Park,2017-02-21 23:55:00,"{u'Come Again Please': {'odds': u'SP', 'uid': u'3357917993'}, u'Crazy Marge': {'odds': u'SP', 'uid': u'3357917865'}, u'Shesa Prowler': {'odds': u'SP', 'uid': u'3357917969'}, u'Silvers Due': {'odds': u'SP', 'uid': u'3357917952'}, u'White Rock Danseur': {'odds': u'SP', 'uid': u'3357917847'}, u'Dorothyroseblanche': {'odds': u'SP', 'uid': u'3357917902'}, u'Paint Her Black': {'odds': u'SP', 'uid': u'3357917876'}, u'Nomas Home': {'odds': u'SP', 'uid': u'3357917932'}, u'California Song': {'odds': u'SP', 'uid': u'3357917982'}, u'Definitely Not': {'odds': u'SP', 'uid': u'3357917856'}}",5197796
Sunland Park,2017-02-21 23:29:00,"{u'Martins Pleasure': {'odds': u'SP', 'uid': u'3357917870'}, u'Show Can Tell': {'odds': u'SP', 'uid': u'3357917973'}, u'Accompany': {'odds': u'SP', 'uid': u'3357917842'}, u'El Gigante': {'odds': u'SP', 'uid': u'3357918003'}, u'Tractor Man': {'odds': u'SP', 'uid': u'3357917852'}, u'King Of Art': {'odds': u'SP', 'uid': u'3357917987'}, u'Incantation Spell': {'odds': u'SP', 'uid': u'3357917997'}, u'Iam Dani': {'odds': u'SP', 'uid': u'3357917888'}, u'Heal With Steel': {'odds': u'SP', 'uid': u'3357917943'}, u""Laken's Diamond"": {'odds': u'SP', 'uid': u'3357917860'}, u'Back Seat Hero': {'odds': u'SP', 'uid': u'3357917959'}, u'Proud Manes': {'odds': u'SP', 'uid': u'3357917911'}}",5197795
Sunland Park,2017-02-21 22:37:00,"{u'Mist Ter Noble': {'odds': u'SP', 'uid': u'3357917903'}, u'Gotta Move': {'odds': u'SP', 'uid': u'3357917953'}, u'Some Dandy': {'odds': u'SP', 'uid': u'3357917968'}, u'Thecryptarrives': {'odds': u'SP', 'uid': u'3357917879'}, u'El Negro Caballero': {'odds': u'SP', 'uid': u'3357917849'}, u'May Weather': {'odds': u'SP', 'uid': u'3357917858'}, u'Attempted Date': {'odds': u'SP', 'uid': u'3357917992'}, u""J's Fighter"": {'odds': u'SP', 'uid': u'3357917999'}, u'Playin Tough': {'odds': u'SP', 'uid': u'3357917935'}, u""Slew's Royal Tower"": {'odds': u'SP', 'uid': u'3357917838'}, u'River Crossing': {'odds': u'SP', 'uid': u'3357917981'}, u'Pure Tera': {'odds': u'SP', 'uid': u'3357917867'}}",5197793
Sunland Park,2017-02-21 21:20:00,"{u'Berconi': {'odds': u'SP', 'uid': u'3357917843'}, u'Go Back In Time': {'odds': u'SP', 'uid': u'3357917890'}, u'Mimbres Red': {'odds': u'SP', 'uid': u'3357917861'}, u""Heros Don't Die"": {'odds': u'SP', 'uid': u'3357917854'}, u""Dat's My Who"": {'odds': u'SP', 'uid': u'3357917835'}, u'Beerbellybuddy': {'odds': u'SP', 'uid': u'3357917913'}, u'Cyclone Patron': {'odds': u'SP', 'uid': u'3357917872'}, u'Dashin By U': {'odds': u'SP', 'uid': u'3357917948'}, u'Chico The Man': {'odds': u'SP', 'uid': u'3357917964'}}",5197790
